,country,description,points,price,winery,variety,title
560,US,"As the name makes clear, this wine is made from a head-pruned, older block of very unlikely Syrah at the estate property, as seductive as rare. Plum, black cherry, leather and black pepper jump from the glass, slowly and with purpose, around a core of burly tannin and intensely floral aromatics. This is a great wine.",93,45.0,Limerick Lane,Syrah,Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley)
561,US,"In the big, ripe and saturated school of winemaking, this wine has a deep color, oodles of black cherry and blackberry flavors and full body. It also has enough firm tannin and acidity to keep the structure lively and the finish fresh, so it's a lot of fun to drink and can take on all kinds of rich proteins at dinner.",93,50.0,Loring Wine Company,Pinot Noir,Loring Wine Company 2014 Durell Vineyard Pinot Noir (Sonoma Coast)
562,US,"This is big boisterous wine from Elias Fernandez and Doug Shafer that has been given some nice time in bottle after four years in new French oak. It's a viscous, black-as-night kind of experience. Coconut macaroon and juicy blackberry and blueberry substantiate structured, integrated tannin, finishing with an unexpected elegance.",93,65.0,Eighty Four,Petite Sirah,Eighty Four 2010 Petite Sirah (Napa Valley)
563,US,"Plump black plums and concentrated hibiscus fruit meet with cola, sarsaparilla and tart dried orange rind on the nose of this bottling. The palate is more earth-driven, with crushed rocks, pine needle and mint flavors spicing up the tart plum skins and berries. The texture is excitingly grippy.",93,48.0,Flying Goat Cellars,Pinot Noir,Flying Goat Cellars 2012 Rancho Santa Rosa Vineyard Pinot Noir (Sta. Rita Hills)
564,US,"Spicy cracked peppercorns, light tar, fresh picked lavender and light purple fruits show on the savory nose of this bottling. More strong pepper notes show on the palate, as do tart elderberries, sesame, soy and hoisin elements, with a nice smoked meat character adding to the delicious complexity.",93,62.0,Four Lanterns,Syrah,Four Lanterns 2013 Fire Light Syrah (Paso Robles)
565,US,"There's magic in this 65% Petit Verdot and 35% Sangiovese combination. This shows concentrated cherry and kirsch aromas, touches of shiitake and porcini mushrooms and plenty of turned, wet earth aromas. The palate, framed by chalky tannins, offers more mushrooms and truffles in a black cherry-chocolate gravy, proving quite luxurious and interesting at once.",93,100.0,Turiya,Red Blend,Turiya 2011 Shapeshifter Red (Central Coast)
566,US,"Softened by 6% Merlot, this lovely concoction opens with a waft of smoky cigar box, becoming a bold, loud expression of the variety dotted in classic notes of cassis and cedar. A luxuriously velvety texture is the standout, though, supported by great structure and length.",93,53.0,World's End,Cabernet Sauvignon,World's End 2013 If Six Was Nine Reserve Cabernet Sauvignon (Napa Valley)
567,Argentina,"Smoky and intense from the get-go, this saturated, black-as-night Malbec is full of blackberry, cassis and gamy aromas. While it goes heavy on the gas, the wine's structure is up to it. Flavors of chocolate, burnt toast, salt and blackberry finish toasty and long, with savory blackened spice notes. Drink through 2023.",93,55.0,Benegas,Malbec,Benegas 2011 Benegas Lynch La Encerrada Estate Vineyard Malbec (Mendoza)
568,US,"This is a lovely wine, classically rendered in cedar, herb and red cherry. The dried herb and forest floor elements persist on the palate, with bursts of acidity giving it life and lingering persistence, the tannins well-integrated.",93,70.0,W.H. Smith,Cabernet Sauvignon,W.H. Smith 2012 Reserve Cabernet Sauvignon (Howell Mountain)
569,US,"The aromas are bright, with notes of barrel spice, vanilla, pineapple and lees. The palate is full bodied, with textured and richly flavored tropical fruit notes that lead to a warm vanilla-filled finish. The oak seems a bit heavy handed.",89,38.0,Alleromb,Chardonnay,Alleromb 2014 La Reyna Blanca Vineyard Chardonnay (Columbia Valley (WA))
570,US,"Aromas of sea salt, olive brine, smoked meat, herb and earth lead to medium-bodied fruit flavors that run warm on the finish. There are plenty of good things going on but they don't seem to entirely come together.",89,50.0,Ardor,Syrah,Ardor 2015 Art Den Hoed Vineyard Syrah (Yakima Valley)
571,US,"This wine tastes fresh and brisk, like apricots and lemons, yet a silky-smooth texture adds depth and interest to make it more than just a one-note, fruity style of wine. It comes from an over-achieving winery located one county inland from Napa.",89,25.0,Berryessa Gap,Albariño,Berryessa Gap 2015 Albariño (Yolo County)
572,Italy,"Here's a mouthwatering, succulent red that arrives with aromas and flavors of juicy black cherry, licorice, white pepper and graphite. It's light bodied, fresh and savory, with solid but polished tannins. An almond note gives it a pleasantly bitter finish. It's made to be drunk young so enjoy soon.",89,15.0,Brezza,Dolcetto,Brezza 2015  Dolcetto d'Alba
573,France,"Fruity and ripe, the wine also has some solid structure to give it a core of dark tannins. The black-currant fruits are developing well, bringing their crispness to the party. Drink this wine from 2018.",89,14.0,Château Bois Chantant,Bordeaux-style Red Blend,Château Bois Chantant 2015  Bordeaux Supérieur
574,France,"This bend of 70% Syrah and 30% Grenache is nevertheless very pale in hue. the nose hints at wet stone, thyme and bay leaf, while the medium-bodied palate delivers a harmonious blend of red berries and citrus. Long on the finish, with mouthwatering persistence.",89,11.0,Château de Campuget,Rosé,Château de Campuget 2016 Tradition Rosé (Costières de Nîmes)
575,France,"This is a juicy wine with its red fruits and attractive acidity. The wood aging still shows, perhaps too strongly, but that fruit is already a major factor in the success of the wine. Drink from 2019.",89,14.0,Château de l'Aubrade,Bordeaux-style Red Blend,Château de l'Aubrade 2015  Bordeaux Supérieur
576,France,"From a Grand Cru estate, this second wine shows the same rich fruit and generous structure as the winery's first wine. It's just softer with an approachable character and generous black fruits that will enable it to mature relatively quickly. Drink from 2020.",89,37.0,Château de Pressac,Bordeaux-style Red Blend,Château de Pressac 2014 Les Terrasses de Pressac  (Saint-Émilion)
577,US,"Ripe luscious black-cherry and berry notes lend heft to this bold concentrated rosé. It's just a shade off dry, but balances neatly, juxtaposing crisp acidity against lavish texture and a pleasantly clingy finish.",89,17.0,Chateau Lafayette Reneau,Rosé,Chateau Lafayette Reneau 2016 Pinot Noir Rosé (Finger Lakes)
578,France,"A ripe perfumed wine with fine tannins as well as dense fruit. Blackberry flavors are up there along with the acidity and crisp aftertaste. It's a wine with a good future, ready to drink from 2018.",89,15.0,Château Maison Noble Saint Martin,Bordeaux-style Red Blend,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux)
579,US,"This refreshing, well-structured wine offers vivid but light fruit flavors, a crisp balance and mouthwatering texture. It has lots of fresh citrus flavors that will pair well with salty meats and all kinds of seafood.",89,13.0,Cupcake,Rosé,Cupcake 2016 Rosé (California)
580,US,"Two-thirds Chenin Blanc and one-third Grüner Veltliner, this wine opens with aromas of apple, white pepper, herb and spice. It brings a sense of freshness and purity, along with a rounded feel.",89,18.0,Raconteur,White Blend,Raconteur 2016 White (Washington)
581,US,"This one-of-a-kind in the state wine was fermented on skins for 12 days, giving it a light-orange color. The aromas leap up from the glass, with notes of spice, lychee, orange peel and mineral. The palate is dry and textured, with a rich but still sleek feel. Put it on the dinner table to see it shine.",89,26.0,Savage Grace,Gewürztraminer,Savage Grace 2016 Orange Oak Ridge Vineyard Gewürztraminer (Columbia Gorge (WA))
582,US,"The aromas are so light you need to strain to get at them, with notes of vanilla, coffee and cherry. The palate brings plentiful coffee and cherry flavors that show a pleasing sense of texture. One wants more aromatically, but the palate delivers.",89,18.0,Seven Falls,Merlot,Seven Falls 2013 Merlot (Wahluke Slope)
583,US,"This incredibly zesty and fruity bottling shows raspberry, lavender and white pepper on the nose. It's fun to sip, with snappy red fruits and hibiscus most prominent. Complexity comes from touches of rooibos tea and potpourri. It's still extremely youthful.",89,32.0,Silvertip,Pinot Noir,Silvertip 2014 Unfiltered Estate Pinot Noir (Santa Cruz Mountains)
584,Austria,"That herbal, yeasty tang of Grüner is on display on the nose. The dry palate further brings out the earthy aspect with miso, stone, yeast and lemon. The body is light and balanced with a savory but diffuse finish.",89,18.0,Steininger,Grüner Veltliner,Steininger 2016 Grüner Veltliner (Kamptal)
585,US,"This is an expressive example of this variety, especially considering the stainless steel aging. The aromas are bright, with notes of apple, pear and melon. The cantaloupe flavors are broad and fleshy, lingering on the finish. It brings a lot of appeal.",89,25.0,Stevens,Chardonnay,Stevens 2016 StevensSteel Chardonnay (Yakima Valley)
586,Austria,"Although a flinty touch of reduction still hangs on the nose, freshness and verve await underneath. The palate is juicy, slight, dry and very refreshing. It offers a slender, lemony expression of Pinot Blanc with a clean-cut finish.",89,18.0,Strauss,Pinot Blanc,Strauss 2016 Classic Pinot Blanc (Steiermark)
587,Austria,"Notes of tart lemon peel appear on the nose. The lean and light body continues in that lemony vein with brisk freshness. This wine is light, with a slight texture made up of yeastiness and zesty lemon. Some notes of grass appear on the finish. Drink this light, dry wine soon.",89,20.0,Strauss,Sauvignon Blanc,Strauss 2016 Classic Sauvignon Blanc (Südsteiermark)
588,US,"It's always a treat to discover a good, well-made but not overpowering wine. This one has nothing in excess, just moderate and crisp fruit flavors with light spicy accents. An appetizing texture backed by good acidity leads to a clean, dry finish. This unoaked wine from northern California should be a crowd pleaser.",89,18.0,Trinity River,Chardonnay,Trinity River 2015 Chardonnay
590,US,"Sweet honeysuckle, lime blossoms and honeydew show on the very flowery nose of this bottling from a newer property near the old mining town of Pozo. The sip tightens up smartly with Anjou pear and honeysuckle flavors, but it's the powerful acidity that makes for a compelling palate.",89,17.0,Vintage Cowboy,Chardonnay,Vintage Cowboy 2016 Chardonnay (Paso Robles)
591,Austria,"Almost luscious pear aromas and notes of peardrop make for a very fruity nose. The palate has a fruity, lemony ease, while the body is slender, dry and has some spritz. The lemon freshness is vivid, brightening everything on this easy, fruity summer wine.",89,13.0,Winzer Krems,Grüner Veltliner,Winzer Krems 2016 GV Grüner Veltliner (Niederösterreich)
592,US,"Purple fruit and wood spice intermingle on the aromas, along with clove, herb and baking spice, showing a touch of volatility. The fruit flavors are big and bold, bringing a sense of structure and liveliness. It's an intriguing example of the variety from an up-and-coming vineyard.",89,41.0,Kontos,Malbec,Kontos 2014 Summit View Vineyard Malbec (Walla Walla Valley (WA))
593,Austria,"A hint of tropicality hovers above the nose, recalling passion fruit. The palate restricts itself to fresh lemon and green apple. This is light, dry, juicy and refreshing—ideal for a sunny day as a light apéritif.",89,16.0,Landhaus Mayer,Riesling,Landhaus Mayer 2016 Riesling (Niederösterreich)
594,France,"This medium-bodied blend of 50% Grenache and 50% Syrah is simple but satisfying. Ripe cherries and raspberries carry the load, dressed up by hints of vanilla and cinnamon. A soft dustiness marks the texture, turning silky on the finish. Drink now–2020.",89,20.0,Lavau,Rhône-style Red Blend,Lavau 2015 La Decelle Red
595,US,"This is a true pan-Washington Cabernet, with fruit coming from 12 different vineyards scattered across the Columbia Valley. It's 100% varietal as aromas of char, toast, black cherry meats, herb, cranberry and spice are followed by elegantly styled dark-fruit flavors. The tannins bring a bit of heft and grip.",89,30.0,L'Ecole No. 41,Cabernet Sauvignon,L'Ecole No. 41 2014 Cabernet Sauvignon (Columbia Valley (WA))
596,Greece,"This indigenous Cretan variety shows its character in the deft hands of Lyrarakis, grown at high altitude. Aromas of fresh pineapple, citrus and flowers lead into pear, green apple and saline notes. Balanced and bright.",89,13.0,Lyrarakis,Vilana,Lyrarakis 2015 Vilana (Crete)
597,Austria,"A touch of funky yeastiness plays on the nose before the lemon zestiness shines through. The palate is slender and light, focusing on that bright, fresh lemon note. This is easy, juicy and very refreshing.",89,24.0,Malat,Riesling,Malat 2016 Furth-Palt Riesling (Kremstal)
598,US,"Light and lively aromas of dried red berries, concentrated roses, cola and black plums show on the nose of this very accessible and pleasurable Sangiovese. The cohesive palate integrates cherry, cola and milk-chocolate flavors into an easy-drinking frame, perfect for barbecues or family-style Italian meals.",89,36.0,Midnight,Sangiovese,Midnight 2013 Starlight Sangiovese (Paso Robles)
599,US,"An easy Cabernet, soft and fruity, great for drinking now, at a pretty good price. It's dry and gentle in the mouth, with some real complexity, combining ripe cherries and blackberries with suggestions of dried herbs, cocoa and tobacco.",87,20.0,Michael Pozzan,Cabernet Sauvignon,Michael Pozzan 2010 Cabernet Sauvignon (Alexander Valley)
600,Italy,"Crisp and light with pretty mineral dustings behind the ripe peach and melon aromas, this Gavi shows a full and generous style. Its nicest quality is that it offers both softness in the mouth and elegance on the bouquet.",87,19.0,Michele Chiarlo,Cortese,Michele Chiarlo 2011 Le Marne  (Gavi)
601,Mexico,"Sauvignon Blanc is, in general, one of Baja's more consistent performers. This version is light in color, with varietally familiar aromas of nettle, grapefruit and passion fruit. It's a bit weighty, with apple, grapefruit and tropical flavors. A mild bitterness can be found on the finish.",87,15.0,Monte Xanic,Sauvignon Blanc,Monte Xanic 2012 Viña Kristel Sauvignon Blanc (Valle de Guadalupe)
602,US,"There's plenty of ripe berry-cherry fruit, fine acids and big tannins on this Cab, but it just doesn't have the stuffing for the long haul. It is, however, a satisfying Cabernet, offering lots of elegance for drinking now and over the next few years.",87,69.0,Paoletti,Cabernet Sauvignon,Paoletti 2010 Cabernet Sauvignon (Oak Knoll District)
603,US,"Ripe and luscious, this decadent Cabernet Franc is chock full of ripe red cherry and plum fruit, accented with purple violets and fresh herb tones. It's bold in alcohol and soft in style, but delicately framed by brisk acidity and a ruffle of feathery tannins.",87,36.0,Peconic Bay Winery,Cabernet Franc,Peconic Bay Winery 2010 Cabernet Franc (North Fork of Long Island)
604,Spain,"Bright red-fruit aromas are matched by dry spice and leathery scents. The feel on this blend of Tempranillo, Cabernet Sauvignon and Merlot is juicy and clampy, while flavors of red cherry, plum and currant come with a vanilla shading. This finishes crisp, with punchy acidity.",87,35.0,Príncipe de Viana,Red Blend,Príncipe de Viana 2008 Reserva 1423 Red (Navarra)
605,Argentina,"Mild berry and cherry aromas are standard and slightly oaky. The palate on this blend of Malbec, Merlot, Cabernet Sauvignon and Syrah is choppy and tannic, while earthy flavors of cherry and plum are pushed by firm acids. This finishes tannic, with coffee and herbal flavors.",87,30.0,Proemio,Red Blend,Proemio 2009 Gran Reserve Winemaker's Selection Red (Mendoza)
606,US,"It's rare to find a varietally labeled Grenache that comes in under 13% alcohol, but here you have it. Blended with 10% Syrah, it has notes of white pepper, smoked meat, savory spices and red fruit. What it lacks in terms of depth it makes up for in purity and elegance.",87,25.0,Quady North,Grenache,Quady North 2011 Bomba Grenache (Rogue Valley)
607,US,"Named after the blending of Steelhead Run and Ox vineyard blocks, this appealing wine is fresh and varietal with notes of ripe peach and herbs. Aged six months in stainless steel and coming in at a low 12% alcohol, the fruit concentration is lighter in style but still offers enjoyment.",87,25.0,Quady North,Viognier,Quady North 2011 Steel-Ox Viognier (Rogue Valley)
608,Portugal,"Verdelho and Sauvignon Blanc hangs together easily on this herb-dominant wine. The texture has a creamy character, showing green fruits, lively acidity and a bright orange-zest aftertaste.",87,15.0,Quinta do Portal,Portuguese White,Quinta do Portal 2012 Verdelho and Sauvignon Blanc White (Douro)
609,US,"Grüner Veltliner, though still rare, shows good promise in Oregon. This is a big, sappy, ripe version that's borderline syrupy, with big flavors of peaches and apricots. But the supporting acids, and a lick of mineral, keep it from crashing.",87,20.0,Raptor Ridge,Grüner Veltliner,Raptor Ridge 2012 Estate Grüner Veltliner (Chehalem Mountains)
610,US,"A touch of oak adds a sweet, smoky creaminess to this wine, but it's really dominated by Sauvignon Blanc's acidity and racy spearmint and tropical fruit. The alcohol is moderate, making it easy to drink.",87,17.0,Rodney Strong,Sauvignon Blanc,Rodney Strong 2012 Charlotte's Home Estate Sauvignon Blanc (Northern Sonoma)
611,US,"This is a good Pinot Noir that's full-bodied, dry and silky in the mouth, with crisp acidity. It shows raspberry, cola and green tea flavors. Hard to predict if it has a future, so drink now–2014.",87,54.0,Saintsbury,Pinot Noir,Saintsbury 2010 Toyon Farm Pinot Noir (Carneros)
612,US,"This is an easy, gentle wine that's a little soft, with superripe cherry, persimmon and red licorice flavors. Delicious in the California way, it's showing its best now.",87,40.0,Sextant,G-S-M,Sextant 2010 Caverio G-S-M (Paso Robles)
613,Portugal,"With its light prickle on the tongue, this is as fresh as possible. It's clean, packed with green and citrus fruits, and boosted with some textured richness. Drink at once.",87,12.0,Solar de Pinheiro,Portuguese White,Solar de Pinheiro 2012 Paço de São Lourenço White (Vinho Verde)
614,Italy,"The dynamic sisters that run this estate deliver a clean and territory-driven line of white wines. This easy Soave Classico opens with peach, pear, citrus and a touch of fragrant honeysuckle flower. It's pure and focused overall.",87,19.0,Suavia,Garganega,Suavia 2011  Soave Classico
615,Argentina,"Four years running this wine has scored 87 and been a Best Buy. The bouquet is scratchy but nicely aromatic, including hints of spice to go with ripe berry scents. The palate is jammy and home to rooty berry, mild spice and very light oak flavors. The finish is a bit hot and fiery, which food will tame.",87,11.0,Tilia,Malbec,Tilia 2011 Malbec (Mendoza)
616,US,"This Chardonnay wants time to warm and breathe in the glass, so don't pour it right from the fridge. After a little while it develops considerably in generosity, offering waves of tropical fruits, peaches and pears. The oak is pretty strong, even jarring. Give it a few years in the cellars to let everything knit together.",87,45.0,B Cellars,Chardonnay,B Cellars 2011 Dutton Ranch Chardonnay (Russian River Valley)
617,Italy,This bubbly Prosecco Superiore offers vibrant tones of white flower and cut grass followed by light touches of peach and honeydew melon. The mouthfeel is creamy and soft with a subtle touch of sweetness.,87,25.0,Bacio della Luna,Glera,Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)
618,US,"Softly delicious, this is a beautiful Merlot to drink now. It's a little hot in alcohol on the finish, but feels elegant in the mouth, offering waves of cherries, currants and mocha.",87,35.0,Barlow,Merlot,Barlow 2009 Unfiltered Merlot (Calistoga)
619,Italy,"Here's a Chardonnay-based sparkler from Piedmont that opens with bright tones of lemon and sweet grapefruit followed by yeasty tones of freshly baked bread. There's some bitter almond as well, which adds tartness to the finish.",87,16.0,Borgo Maragliano,Chardonnay,Borgo Maragliano NV Brut Chardonnay (Piedmont)
620,Italy,"Extra sweetness and density give this wine a full and generous personality. Dry Proseccos usually show a little extra peach juice and nectarine, as this wine does, without being heavy or cloying.",87,20.0,Bortolotti,Glera,Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore)
621,US,"An easy Pinot Noir, but by no means lacking elegance. It shows the moderate body and crisp, citrusy acidity that usually marks Edna Valley Pinot Noir, with pure, direct flavors of sour-cherry candy, cola, cinnamon and toast.",87,28.0,Claiborne & Churchill,Pinot Noir,Claiborne & Churchill 2010 Pinot Noir (Edna Valley)
622,US,"Mostly Syrah, with just a dash of Petite Sirah (2%) and Petit Verdot (1%), this red from Sawtooth and Skyline vineyards brings light notes of smoked meat, chocolate, and flowers. The enjoyment here is mainly focused on mouthfeel, which is voluptuous and rich, leading to an open finish.",87,25.0,Coiled,Red Blend,Coiled 2009 Sidewinder Red
623,US,"This unusual blend of 85% Syrah, 10% Petit Verdot and 5% Petite Sirah comes together nicely, with the Syrah lending notes of cranberry and smoked meat and the Petit(e)s adding some heft to the plush texture and bitterness on the finish.",87,28.0,Coiled,Red Blend,Coiled 2010 Black Mamba Red
624,US,"Named after the Nez Perce name for the Clearwater River, this blend is mostly Merlot and Cabernet Sauvignon, with some Cabernet Franc and Syrah thrown in the mix. The aromas are light, with notes of berry and sweet spices. The cherry flavors are very soft, getting a bit attenuated on the back half on this otherwise pleasant red.",87,20.0,Colter's Creek,Red Blend,Colter's Creek 2010 Koos-Koos-Kia Colter's Creek Vineyard Red (Idaho)
625,Italy,Here's a pure expression of the Garganega grape that sees (in part) 8 months of oak aging for extra density and thickness. The wine shows spicy notes of cinnamon and white pepper backed by peach and candied fruit.,87,15.0,Corte Falco,Garganega,Corte Falco 2010  Soave
626,Italy,"Made with the indigenous Garganega grape (the same variety that makes Soave), this richly extracted white wine opens with an off-gold color and ripe notes of apricot and peach nectar.",87,23.0,Domenico Cavazza,Garganega,Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico)
627,Italy,"This pretty white wine from northern Italy opens with an ashy, mineral feel and segues to aromas of candied fruit, peach and citrus. It is nearing the end of its drinking window so don't bother putting this bottle aside.",87,19.0,Cascina La Ghersa,White Blend,Cascina La Ghersa 2009 Sivoy White (Monferrato)
628,Australia,"This plush, full-bodied wine is already delicious, delivering wave after wave of savory fruit flavor, something like soy-marinated, char-grilled beef. Tannins are supple enough to make this wine drinkable now, yet plentiful enough to suggest ample cellaring potential. Drink now-2030.",92,35.0,Kangarilla Road,Shiraz,Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale)
629,US,"Each year, this wine is intended to be an experiment. This vintage's creativity involves the addition of soil from the Santa Rita Hills to vineyards in the Russian River Valley. Yeasty on the nose, the result is rich and decadent, a wine that's juicy and velvety in black and red fruit and pillowy tannins. A warmth of spice lingers on the finish.",92,75.0,Walt,Pinot Noir,Walt 2013 Pinpoint Extreme Pinot Noir (Russian River Valley)
630,US,"From the oldest part of the estate, this subtle wine rewards your patience and full attention. Hints of rose petals adorn the floral accents, while the midpalate emphasizes flavors of raspberries and orange peel. At first a bit shy, this opens slowly and reveals hidden complexities and enduring length. Drink now through 2025.",92,48.0,WillaKenzie Estate,Pinot Noir,WillaKenzie Estate 2013 Aliette Pinot Noir
631,France,"Lifted notes of honey and rose petal play on the nose, the palate is altogether more lively than the nose suggests: sprightly and fresh, concentrated and caramel-tinged with lemon freshness. This strikes an appetizing, moreish palate and makes for joyful drinking.",92,54.0,Willm,Gewürztraminer,Willm 2011 Vendanges Tardives Gewurztraminer (Alsace)
632,France,"Ripe fragrant, yellow mirabelle plums constitute the chief perfume of this charming wine. The palate holds even more fruity nuance but is dry, concentrated and linear, being carried forward by zesty freshness and lemony overtones. This is clean, charming, taut and dry with a bracing nature and a clean, brisk finish.",92,34.0,Jean-Marc Bernhard,Riesling,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace)
633,Australia,"This full-bodied wine is rich without ever seeming overdone. Subtle smoke notes frame bold fruit—tangerine, pineapple and apricot—and gingery spice, while the finish is long, peppery and refreshing. Drink now–2020.",92,60.0,Yeringberg,Viognier,Yeringberg 2013 Viognier (Yarra Valley)
634,US,"From a two-acre block within the amazing Maple Vineyard planted in 1910, this wine also contains 10% Petite Sirah and 10% mixed blacks. Baked berry pie comes to mind first, conjuring up all things good and right in the world, topped in bourbon whipped cream and nutmeg. Good acidity buoys the proceedings. Drink now through 2021.",92,48.0,Armida,Zinfandel,Armida 2013 Tina's Block Maple Vineyard Zinfandel (Dry Creek Valley)
635,Spain,"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years.",92,28.0,Marqués de Murrieta,Viura,Marqués de Murrieta 2010 Capellanía Viura (Rioja)
636,Australia,"The Torbreck wines, with the emphasis they place on ripeness, can sometimes be controversial. This one is full bodied and rich, with dense plum and chocolate notes that verge on being fudge-like. But those elements are lifted slightly by hints of mint and bacon. Mocha joins the party on the long finish. Drink now–2025.",92,125.0,Torbreck,Shiraz,Torbreck 2010 The Factor Shiraz (Barossa Valley)
637,France,"A rather perfumed nose hints at the Gewurztraminer that colors this Riesling with rose petal and honeysuckle notes. The co-planted varieties in this vineyard make a smashing duo since they are almost polar opposites: structured, straight-laced Riesling with its fine spine of acidity benefits from the playfulness and charm of aromatic, fleshy Gewurztraminer which in turn is lit up by Riesling's freshness. Really, this is a case where you can have the best of both worlds.",92,45.0,Biecher & Schaal,Alsace white blend,Biecher & Schaal 2014 Altenberg de Bergheim Grand Cru White (Alsace)
638,France,"A very subdued nose suggests some dried orange peel but the palate is full of life: there is bracing, bright and lemon-scented acidity on the dry palate and drenched stone. There is concentration and a texture of the finest, purest citrus oil. This is wonderfully mature and ready now but has the stuffing to last. Drink 2016–2020.",92,36.0,Domaines Schlumberger,Riesling,Domaines Schlumberger 2010 Kitterlé Grand Cru Riesling (Alsace)
639,France,"There are mere hints of beeswax and marzipan on the nose. The palate opens into a structured, bright and well-lit space of pear peel, pear juice and a wonderfully bitter edge. This is off-dry and concentrated, definite but with a light touch. There is an intriguing hint of bitter orange peel that draws you in and pull this onto a higher plane.",92,30.0,Domaines Schlumberger,Pinot Gris,Domaines Schlumberger 2012 Kessler Grand Cru Pinot Gris (Alsace)
640,US,"Yields tend to be low in this dry-farmed vineyard, which especially struggles during a drought, but the quality is fantastic. Aromas of browned toast, popcorn, Meyer-lemon pith, honey pollen and a mineral herbal chamomile character show on the nose. A vibrant chalkiness reveals itself on the sip, with lemon blossom and grapefruit pith keeping the palate tight, grippy and texturally zippy.",92,37.0,Foxen,Chardonnay,Foxen 2014 Tinaquaic Vineyard Chardonnay (Santa Maria Valley)
641,US,"Completely stainless-fermented and aged, this is a blockbuster of a white wine, refreshing and exotic in floral intoxication. Dry and light-bodied, it offers an edginess of slate-like minerality along with aromas of apricot and peach, finishing in a dusting of white pepper.",92,25.0,Les Belles Collines,Pinot Gris,Les Belles Collines 2014 Pinot Gris (California)
642,Portugal,"This is a new wine from the hands of master winemaker Luis Duarte. With its rich black fruits and dense tannins, it's also a wine that is firmly structured. Wood aging has added a layer of complexity and broadened out the fruits and dark tannins. Drink from 2017.",92,30.0,Luis Duarte,Portuguese Red,Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red (Alentejano)
643,US,"Creamy in texture and floral in aroma, this is a lovely and well-integrated white wine, with well-crafted characteristics of pear and honeyed apple. Medium bodied, it'll pair well at the table and on its own.",92,60.0,Melhill,Chardonnay,Melhill 2012 Chardonnay (Sonoma Coast)
644,US,"Boosted by 5% Petit Verdot, this bottling shows lush aromas of fudge, black plum, black currant, soy and black pepper. The palate is dense and thick with more black fruit as well as caramel, purple flowers, milk chocolate and mint-chip ice cream, proving concentrated and decadent.",92,40.0,Niner,Cabernet Sauvignon,Niner 2013 Estate Grown Cabernet Sauvignon (Paso Robles)
645,US,"Pommard and Wädenswil clones are combined here, yielding a stylish, well-defined wine with spicy berry fruit. Flavors punch through into a deep and detailed finish, with streaks of cola and caramel. The balance is spot-on.",92,50.0,Purple Hands,Pinot Noir,Purple Hands 2014 Freedom Hill Vineyard Pinot Noir (Willamette Valley)
646,Portugal,"As its name suggests this is a selection of barrels of Syrah and Touriga Nacional. It is rich, smooth and full of ripe fruit. The dusty tannins are in suspension, backing up the black plum and blueberry fruit flavors. Along with the juicy acidity, this is a wine to age. Drink from 2017.",92,23.0,Quinta da Lagoalva de Cima,Portuguese Red,Quinta da Lagoalva de Cima 2013 Lagoalva Barrel Selection Tinto Red (Tejo)
647,Portugal,"This is an impressive, powerful wine. It speaks of the hard landscape of the Douro Superior, with its structure and dark tannins. At the same time, ripe dark fruits push through the still-young tannins giving the potential for a rich, black fruit dominated wine. Predominantly Touriga Nacional (60 percent), this wine is a new venture created by João Nicolau d'Almeida (who has run Ramos-Pinto for many years) and his family. Drink from 2018.",92,80.0,Quinta do Monte Xisto,Portuguese Red,Quinta do Monte Xisto 2013 Red (Douro)
648,Germany,"A spray of rose petals perfumes this aromatic spätlese. Its freshness is exhilarating, contrasting lavish layers of honey and marmalade against the sharp bites of pineapple, tangerine and lemon. Cutting and spry, yet deeply penetrating, it finishes on a lingering pollen note.",92,34.0,Reichsgraf von Kesselstatt,Riesling,Reichsgraf von Kesselstatt 2014 Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling (Mosel)
649,US,"With a smidgen of Petit Verdot, this dark, tight and leathery wine is exalted in tobacco, graphite and tar, still youthfully awkward and shy. The flavors lean savory into meaty aspects of currant and clove, waiting to find companionship in fruit. Drink now after a decant, or cellar through 2023.",92,75.0,Stone The Crows,Cabernet Sauvignon,Stone The Crows 2013 Three Twins Vineyard Fallen Feather Cabernet Sauvignon (Napa Valley)
650,Italy,"You'll find aromas of tomato leaf, passion fruit, crushed rock and green bell pepper on this radiant white. The bright, savory palate delivers tropical fruit, tangerine zest, dill, celery and mineral alongside tangy acidity. It's an extremely impressive showing for this challenging vintage.",92,24.0,Sturm,Sauvignon,Sturm 2014 Sauvignon (Collio)
